Date,kpi,ppi,unemployment,oil_price_nok,usd_nok,import_val,eksport_val,styringsrente,eur_nok,boligpris_idx,toll_rate_avg
2014-10-01,98.6,107.57575757575756,4,557.790936,6.4604,46038612851.6,76938324888,1.5,8.3136,2,21.422049170251714
2014-11-01,98.6,104.54545454545456,4,455.975032,6.4604,46692321631,71904378470,1.5,8.4912,1.8493333333333333,21.422049170251714
2014-12-01,98.6,104.82093663911847,3.9,404.96114900000003,6.9569,44053817904.8,67715500960.6,1.36,8.9714,1.6986666666666668,21.42125983284191
2015-01-01,98.6,100,4.3,375.32475500000004,6.9569,47633982296.8,65218398775.6,1.25,8.932,1.548,21.429002297738634
2015-02-01,98.9,102.20385674931131,4.7,439.328235,6.9569,49711630014,72920491326,1.25,8.6188,1.4386666666666668,21.429002297738634
2015-03-01,99.2,103.4435261707989,4.5,391.047349,6.9569,49876804792.2,69371848425,1.25,8.6434,1.3293333333333333,21.429002297738634
2015-04-01,99.6,103.4435261707989,4.5,545.002745,8.0801,68100036251.799995,68665796773.7,1.25,8.4988,1.22,21.429002297738634
2015-05-01,99.8,103.4435261707989,4.4,534.417814,8.0801,47575186575.7,72115529682.3,1.25,8.4102,1.1813333333333333,21.429002297738634
2015-06-01,100.1,103.71900826446281,4.8,510.26577,7.9555,51918372639,74582955699,1.16,8.755,1.1426666666666667,21.428224909311044
2015-07-01,100.1,101.37741046831957,5.2,416.29945,7.877,44704976137,69544237044,1,8.9357,1.104,21.428224909311044
2015-08-01,99.9,96.96969696969698,4.2,433.15623,7.877,50546693909.4,73049756519.8,1,9.1815,0.9346666666666668,21.428224909311044
2015-09-01,100.6,96.83195592286502,4.8,408.42954,8.3268,50007080354.4,72059319500.40001,0.95,9.3075,0.7653333333333334,21.428224909311044
2015-10-01,101,97.38292011019286,5,426.573459,8.4789,51485695284.6,70725921896.7,0.75,9.2892,0.596,21.428224909311044
2015-11-01,101.3,97.79614325068871,4.5,383.585436,8.4789,51629994223.5,63732875887.2,0.75,9.2572,0.9236666666666666,21.428224909311044
2015-12-01,100.9,93.38842975206612,5.2,327.00196900000003,8.6807,50333710802.9,61928261371.9,0.75,9.4626,1.2513333333333332,21.428224909311044
2016-01-01,101.5,89.25619834710744,4.9,312.41839300000004,8.6807,49183897520.99999,59724993572.99999,0.75,9.5899,1.579,21.45735619864263
2016-02-01,102.1,86.9146005509642,5.6,316.37438399999996,8.6512,52469372278.399994,60027536414.399994,0.75,9.5628,1.7653333333333332,21.45735619864263
2016-03-01,102.5,88.01652892561984,4.8,348.95532499999996,8.6525,51626101677.5,60805019777.5,0.66,9.4246,1.9516666666666667,21.45735619864263
2016-04-01,102.9,88.70523415977964,5,391.162512,8.2576,48447991550.4,60152858792,0.5,9.3224,2.138,21.45735619864263
2016-05-01,103.2,91.04683195592287,5.1,411.97166400000003,8.2576,48581919745.200005,60445032452.00001,0.5,9.3099,2.5669999999999997,21.454842819718742
2016-06-01,103.8,93.66391184573003,4.7,414.09921299999996,8.3303,50801026692.899994,62955409219.99999,0.5,9.3278,2.996,21.454842819718742
2016-07-01,104.5,94.0771349862259,4.9,363.466794,8.3498,60764817820.4,63644655490.6,0.5,9.369,3.425,21.454842819718742
2016-08-01,103.9,92.42424242424242,5.1,396.722223,8.4607,63665210731.2,62438459995.399994,0.5,9.303,3.1726666666666667,21.454842819718742
2016-09-01,104.2,90.90909090909092,4.7,419.001177,8.3483,51631680920.2,61577954068.1,0.5,9.1971,2.9203333333333332,21.454842819718742
2016-10-01,104.7,92.97520661157026,4.9,405.810863,8.3483,50802015960.9,65137246537.49999,0.5,9.0009,2.668,21.45407429455866
2016-11-01,104.9,95.3168044077135,4.8,424.1859840000001,8.1826,51550707304.00001,64008486691.200005,0.5,9.0807,2.2863333333333333,21.45407429455866
2016-12-01,104.4,100.27548209366392,4.2,484.87066,8.434,50057611743.99999,67715970317.999985,0.5,9.0252,1.9046666666666667,21.45407429455866
2017-01-01,104.3,100.55096418732784,4.1,468.76171999999997,8.434,57127403579.99999,75599503280,0.5,8.999,1.523,21.527490950226426
2017-02-01,104.7,103.30578512396696,4.5,465.224226,8.2326,51580441481.4,72495641689.8,0.5,8.8603,0.7506666666666666,21.526407327829723
2017-03-01,105,102.20385674931131,4.8,450.36930199999995,8.4134,49032706261.99999,67980255173.2,0.5,9.0919,-0.021666666666666785,21.526407327829723
